Gene_Name,F-Statistic,p-value (ANOVA),Chi-Square Statistic,p-value (Chi-Squared Test),Correlation Coefficient,p-value (Pearson Correlation)
201795_at,1.1343779876082087,0.3454051434296265,25859.3649976426,0.0,0.09083368326318364,0.22137306226483644
1556236_at,1.134243112270892,0.345492346686369,1357.545121749607,8.546037759492988e-288,-0.08436037649280333,0.25620294472417066
1557669_at,1.1338326627939117,0.3457578172296773,854.1144139674606,4.4439878352014005e-179,0.06214063806775926,0.4033400834825006
206426_at,1.1336808687610622,0.3458560310463838,2077.4281202866237,0.0,0.1114219382519261,0.13319020256798242
205884_at,1.1335580179160445,0.34593553244733855,20573.783197153658,0.0,-0.11843552465029074,0.11030738995407038
1564805_a_at,1.1334336249205341,0.3460160449698287,1074.4285827894437,1.2750187672642147e-226,0.016089403849577466,0.8288505470108862
1552552_s_at,1.133317731069813,0.3460910683740276,9677.527210840903,0.0,-0.021748135964543624,0.7701169154657012
203223_at,1.1330105468575538,0.3462899783139886,1001.1991351417247,8.228024115337894e-211,-0.018179348966197988,0.8070288884971027
206576_s_at,1.1328609149651965,0.34638689813581836,2318.945073019162,0.0,-0.008228780967277454,0.9119684450856024
1562939_at,1.132853414738551,0.3463917566986319,2216.946204847519,0.0,0.007907545684899714,0.9153919591266311
204975_at,1.132838780003996,0.346401237054108,2687.4138442613225,0.0,0.15516998378191835,0.0359547952579764
205050_s_at,1.132761540215315,0.34645127588507546,1494.5122586684004,0.0,0.07837116132506752,0.29163403961742346
1562682_at,1.1327060221951524,0.3464872456878326,1163.2425177730202,8.377381281152219e-246,0.07336943407530665,0.323616458465324
202792_s_at,1.1323907902420474,0.3466915325516685,2291.842017104169,0.0,-0.2390995692830152,0.0011151923866773363
205664_at,1.1323237110207465,0.3467350143623887,2273.2973092841767,0.0,-0.14339358307085845,0.05280402692318385
1561154_at,1.1322864531665935,0.3467591671519666,1098.3890026610445,8.53611734224628e-232,0.12600080455845936,0.08920465559138355
206535_at,1.1317861070214557,0.3470836365808018,1828.4906919540288,0.0,0.11402034962302482,0.1243211947010754
1552876_at,1.1316979180696598,0.347140848388336,1540.8494143394366,0.0,0.07632510002017891,0.30445308320408687
1557094_at,1.1314471875938872,0.3473035438629276,1474.1819278759206,0.0,0.009863428498268786,0.8945738548540904
1561450_at,1.1313505877067904,0.3473662404939185,1036.39477628603,2.0777097559240822e-218,0.06140280444510921,0.4089575191554931
1557630_s_at,1.1313409735089879,0.34737248087311523,2791.4959409157377,0.0,-0.1709242071389538,0.02069917771474106
203230_at,1.13120721796602,0.347459307047669,2637.011594370154,0.0,-0.07104438480697524,0.33922713444993724
206620_at,1.1305375059569258,0.3478942741115218,1990.34012424688,0.0,-0.1888004737808875,0.010479065901374901
202549_at,1.1303626147150063,0.34800792618109433,1870.2934461256848,0.0,-0.00726763856381165,0.9222162463027523
1558120_at,1.1302617293078823,0.3480734978583076,1931.1375537061058,0.0,-0.009584265103453898,0.8975411607864935
201993_x_at,1.1302218465852378,0.3480994225071009,11471.785848787322,0.0,-0.11968509283709661,0.10657473488254442
1568636_a_at,1.1301128517576593,0.3481702784727965,1455.4120345485458,5.89930054956797e-309,0.03257455132355782,0.6615623783632125
